S.NO,COUNTRY,TOTAL CASES,NEW CASES,DEATHS,NEW DEATHS,TOTAL RECOVERED,ACTIVE CASES,SERIOUS/CRITICAL
1,USA,740928,2136,39084,70,68599,633245,13551
2,Spain,195944,1528,20453,410,77357,98134,7371
3,Italy,175925,0,23227,0,44927,107771,2733
4,France,151793,0,19323,0,35983,96487,5833
5,Germany,144348,624,4547,9,88000,51801,2922
6,UK,"120,067","+5,850","16,060",+596,N/A,"103,663","1,559"
7,Turkey,82329,0,1890,0,10453,69986,1894
8,Iran,82211,1343,5118,87,57023,20070,3456
9,Russia,42853,6060,361,48,3291,39201,8
10,Belgium,38496,1313,5683,230,8757,24056,1081
11,Brazil,36925,203,2372,11,14026,20527,6634
12,Canada,33951,568,1509,39,11207,21235,557
13,Netherlands,32655,1066,3684,83,250,28721,1279
14,Switzerland,27740,336,1381,13,17100,9259,386
15,Portugal,20206,521,714,27,610,18882,224
16,India,16402,37,538,17,2601,13263,0
17,Ireland,14758,0,571,0,77,14110,294
18,Austria,14699,28,443,0,10501,3755,204
19,Peru,14420,0,348,0,6684,7388,117
20,Sweden,14385,563,1540,29,550,12295,450
21,Israel,13362,97,171,7,3564,9627,156
22,S. Korea,10661,8,234,2,8042,2385,55
23,Japan,10296,0,222,0,1069,9005,221
24,Chile,10088,358,133,7,4338,5617,360
25,Saudi Arabia,9362,1088,97,5,1398,7867,97
26,Poland,9082,340,350,3,1040,7692,160
27,Ecuador,9022,0,456,0,1008,7558,168
28,Romania,8746,328,434,13,1892,6420,256
29,Pakistan,7993,355,159,16,1868,5966,46
30,Mexico,7497,622,650,104,2627,4220,207
31,Denmark,7384,142,355,9,4141,2888,76
32,Norway,7078,42,165,1,32,6881,58
33,UAE,6781,479,41,4,1286,5454,1
34,Czechia,6657,51,181,0,1235,5241,84
35,Australia,6612,26,71,1,4230,2311,48
36,Singapore,6588,596,11,0,740,5837,23
37,Indonesia,6575,327,582,47,686,5307,0
38,Serbia,6318,324,122,5,753,5443,120
39,Philippines,6259,172,409,12,572,5278,1
40,Ukraine,5449,343,141,8,347,4961,45
41,Qatar,5448,440,8,0,518,4922,37
42,Malaysia,5389,84,89,1,3197,2103,46
43,Belarus,4779,0,47,2,342,4390,65
44,Dominican Republic,4680,345,226,9,363,4091,146
45,Panama,4273,63,120,4,140,4013,96
46,Finland,3783,102,94,4,1700,1989,68
47,Colombia,3621,0,166,0,691,2764,98
48,Luxembourg,3537,0,72,0,601,2864,32
49,South Africa,3034,0,52,0,903,2079,36
50,Egypt,3032,0,224,0,701,2107,0
51,Argentina,2839,0,132,0,709,1998,123
52,Morocco,2820,135,138,1,322,2360,1
53,Thailand,2765,32,47,0,1928,790,61
54,Algeria,2534,0,367,0,894,1273,60
