DATE,TOTAL_CASES,DEATHS
1-Mar-20,3,0
2-Mar-20,5,0
3-Mar-20,6,0
4-Mar-20,28,0
5-Mar-20,30,0
6-Mar-20,31,0
7-Mar-20,34,0
8-Mar-20,39,0
9-Mar-20,44,0
10-Mar-20,50,0
11-Mar-20,60,0
12-Mar-20,73,1
13-Mar-20,81,2
14-Mar-20,84,2
15-Mar-20,110,2
16-Mar-20,114,2
17-Mar-20,137,2
18-Mar-20,162,3
19-Mar-20,173,4
20-Mar-20,223,4
21-Mar-20,283,4
22-Mar-20,360,7
23-Mar-20,434,9
24-Mar-20,519,10
25-Mar-20,606,10
26-Mar-20,694,16
27-Mar-20,724,17
28-Mar-20,1008,24
29-Mar-20,1024,27
30-Mar-20,1385,32
31-Mar-20,1556,35
1-Apr-20,1998,58
2-Apr-20,2543,60
3-Apr-20,2772,62
4-Apr-20,3154,68
5-Apr-20,3935,83
6-Apr-20,4711,111
7-Apr-20,5266,124
8-Apr-20,5834,149
9-Apr-20,6512,169
10-Apr-20,7483,206
11-Apr-20,8424,242
12-Apr-20,9485,273
13-Apr-20,10656,324
14-Apr-20,12358,353
15-Apr-20,13669,392
16-Apr-20,14694,420
17-Apr-20,15495,470
18-Apr-20,16365,498
19-Apr-20,18937,519
21-Apr-20,22848,603
