DATE,TOTAL_CASES,ACTIVE_CASES,RECOVERED,DEATHS
05-March-2020,1,1,0,0
14-March-2020,2,2,0,0
15-March-2020,3,3,0,0
16-March-2020,4,4,0,0
17-March-2020,5,5,0,0
18-March-2020,13,13,0,0
19-March-2020,15,14,1,0
20-March-2020,20,19,1,0
21-March-2020,22,21,1,0
22-March-2020,28,27,1,0
23-March-2020,34,33,1,0
24-March-2020,40,39,1,0
25-March-2020,41,40,1,0
26-March-2020,45,44,1,0
27-March-2020,45,44,1,0
28-March-2020,68,66,1,1
29-March-2020,68,66,1,1
30-March-2020,77,61,14,2
31-March-2020,97,77,14,6
01-April-2020,130,107,14,9
02-April-2020,180,154,17,9
03-April-2020,272,229,32,11
04-April-2020,272,228,33,11
05-April-2020,378,334,33,11
06-April-2020,364,308,45,11
07-April-2020,404,348,45,11
08-April-2020,453,397,45,11
09-April-2020,471,414,45,12
10-April-2020,487,430,45,12
11-April-2020,503,393,96,14
12-April-2020,531,412,103,16
13-April-2020,592,472,103,17
14-April-2020,644,516,110,18
15-April-2020,650,514,118,18
16-April-2020,700,496,186,18
17-April-2020,766,562,186,18
18-April-2020,809,605,186,18
19-April-2020,858,651,186,21
20-April-2020,872,663,186,23
21-April-2020,928,711,194,23
22-April-2020,943,725,194,24
23-April-2020,970,693,252,25
24-April-2020,983,667,291,25
25-April-2020,990,658,307,25
26-April-2020,1001,660,316,25
27-April-2020,1003,646,332,25
28-April-2020,1009,610,374,25
29-April-2020,1016,582,409,25
30-April-2020,1038,568,442,28
01-May-2020,1044,552,464,28
02-May-2020,1061,533,499,29
03-May-2020,1082,508,545,29
04-May-2020,1085,471,585,29
05-May-2020,1096,439,628,29
06-May-2020,1107,430,648,29
07-May-2020,1122,400,693,29
08-May-2020,1132,376,727,29
09-May-2020,1163,382,751,30
10-May-2020,1196,415,751,30
11-May-2020,1275,444,801,30
12-May-2020,1326,472,822,32
13-May-2020,1367,394,939,34
14-May-2020,1414,428,952,34
15-May-2020,1454,461,959,34
16-May-2020,1509,504,971,34
17-May-2020,1551,525,992,34
18-May-2020,1592,556,1002,34
19-May-2020,1634,585,1011,38
20-May-2020,1661,608,1013,40
21-May-2020,1699,618,1036,45
22-May-2020,1761,670,1043,48
23-May-2020,1813,696,1068,49
24-May-2020,1854,709,1092,53
25-May-2020,1920,700,1164,56
26-May-2020,1991,650,1284,57
27-May-2020,2098,714,1321,63
28-May-2020,2256,844,1345,67
29-May-2020,2425,973,1381,71
30-May-2020,2499,1010,1412,77
31-May-2020,2698,1188,1428,82
01-June-2020,2792,1213,1491,88
02-June-2020,2891,1273,1526,92
03-June-2020,3020,1365,1556,99
04-June-2020,3147,1455,1587,105
05-June-2020,3290,1550,1627,113
06-June-2020,3496,1663,1710,123
07-June-2020,3650,1771,1742,137
08-June-2020,3742,1852,1742,142
09-June-2020,3920,2030,1742,148
10-June-2020,4111,2138,1817,156
11-June-2020,4320,2162,1993,165
12-June-2020,4484,2032,2278,174
13-June-2020,4737,2203,2352,182
14-June-2020,4974,2412,2377,185
15-June-2020,5193,2240,2766,187
16-June-2020,5406,2188,3027,191
17-June-2020,5675,2412,3071,192
18-June-2020,6027,2531,3301,195
19-June-2020,6526,2976,3352,198
20-June-2020,7072,3363,3506,203
21-June-2020,7802,3861,3731,210
22-June-2020,8674,4452,4005,217
23-June-2020,9553,5109,4224,220
24-June-2020,10444,5858,4361,225
25-June-2020,11364,6446,4688,230
26-June-2020,12349,7436,4766,237
27-June-2020,13436,8265,4928,243
28-June-2020,14419,9000,5172,247
29-June-2020,15394,9559,5582,253
30-June-2020,16339,8785,7294,260
01-July-2020,17357,9008,8082,267
02-July-2020,18570,9226,9069,275
03-July-2020,20462,9984,10195,283
04-July-2020,22312,10487,11537,288
05-July-2020,23902,10904,12703,295
06-July-2020,25733,10646,14781,306
07-July-2020,27612,11012,16287,313
08-July-2020,29536,11933,17279,324
09-July-2020,30946,12423,18192,331
10-July-2020,32224,12680,19205,339
11-July-2020,33402,12135,20919,348
12-July-2020,34671,11883,22482,356
13-July-2020,36221,12178,23679,365
14-July-2020,37745,12531,24840,375
15-July-2020,39342,12958,25999,386
16-July-2020,41018,13328,27295,396
17-July-2020,42496,13389,28705,403
18-July-2020,43780,12765,30607,409
19-July-2020,45076,12224,32438,415
20-July-2020,46274,11530,34323,422
21-July-2020,47705,10891,36385,429
22-July-2020,49259,11155,37666,438
23-July-2020,50826,11052,39327,447
24-July-2020,52466,11677,40334,455
25-July-2020,54059,12264,41332,463
26-July-2020,55532,12955,42106,471
27-July-2020,57142,13753,42909,480
28-July-2020,58906,14663,43751,492
29-July-2020,60717,15640,44572,505
30-July-2020,62703,16796,45388,519
31-July-2020,64786,17754,46502,530
01-August-2020,66677,18547,47590,540
02-August-2020,67660,18500,48609,551
03-August-2020,68946,18708,49675,563
04-August-2020,70958,19568,50814,576
05-August-2020,73050,20358,52103,589
06-August-2020,75257,21417,53239,601
07-August-2020,77513,22568,54330,615
08-August-2020,79495,22869,55999,627
09-August-2020,80751,22528,57586,637
10-August-2020,82647,22628,59374,645
11-August-2020,84544,22596,61294,654
12-August-2020,86475,22736,63074,665
13-August-2020,88396,23438,64284,674
14-August-2020,90259,23379,66196,684
15-August-2020,91361,22542,68126,693
16-August-2020,92255,21420,70132,703
17-August-2020,93937,21024,72202,711
18-August-2020,95700,20990,73991,719
19-August-2020,97424,21509,75186,729
20-August-2020,99391,21687,76967,737
21-August-2020,101865,22386,78735,744
22-August-2020,104249,22908,80586,755
23-August-2020,106091,22919,82411,761
24-August-2020,108670,23737,84163,770
25-August-2020,111688,25685,85223,780
26-August-2020,114483,27600,86095,788
27-August-2020,117415,28941,87675,799
28-August-2020,120166,30008,89350,808
29-August-2020,123090,31284,90988,818
30-August-2020,124963,31299,92837,827
31-August-2020,127697,31699,95162,836
01-September-2020,130589,32341,97402,846
02-September-2020,133406,32537,100013,856
03-September-2020,135884,32994,102024,866
04-September-2020,138395,32915,104603,877
05-September-2020,140969,32553,107530,886
06-September-2020,142771,31635,110241,895
07-September-2020,145163,31670,112587,906
08-September-2020,147642,31654,115072,916
09-September-2020,150176,32106,117143,927
10-September-2020,152602,32195,119467,940
11-September-2020,154880,32005,121925,950
12-September-2020,157096,31607,124528,961
13-September-2020,158513,30532,127007,974
