DISTRICT,TOTAL,ACTIVE,RECOVERED,DECEASED
Adilabad,48,33,15,0
Bhadradri Kothagudem,43,39,4,0
Foreign Evacuees,33,33,0,0
Hyderabad,20346,20018,305,23
Jagtial,38,36,2,0
Jangaon,86,85,1,0
Jayashankar Bhupalapally,13,13,0,0
Jogulamba Gadwal,57,31,25,1
Kamareddy,52,44,8,0
Karimnagar,134,118,16,0
Khammam,93,90,3,0
Komaram Bheem,26,24,2,0
Mahabubabad,46,45,1,0
Mahabubnagar,113,105,8,0
Mancherial,88,87,0,1
Medak,86,82,4,0
Medchal Malkajgiri,996,986,9,1
Mulugu,23,21,2,0
Nagarkurnool,25,23,2,0
Nalgonda,136,124,12,0
Narayanpet,7,6,0,1
Nirmal,39,26,13,0
Nizamabad,126,96,30,0
Other State,250,250,0,0
Peddapalli,16,15,1,0
Rajanna Sircilla,40,38,2,0
Ranga Reddy,1560,1541,17,2
Sangareddy,200,194,6,0
Siddipet,35,34,1,0
Suryapet,126,102,24,0
Unknown,456,14050,14230,276
Vikarabad,61,45,15,1
Wanaparthy,15,15,0,0
Warangal Rural,126,126,0,0
Warangal Urban,169,146,23,0
Yadadri Bhuvanagiri,25,25,0,0
